Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0,0,0,,,,,"",""
Gon: BakuBakuBakuBaku Adventure,3DS,2012,Action,Namco Bandai Games,0,0,0,,,,,"",""
Last Bronx,SAT,1996,Fighting,Sega,0,0,0,,,,,"",""
Warriors Orochi,X360,2007,Action,Tecmo Koei,0.17,0.01,0.02,53,27,7.4,13,Omega Force,T
SRS: Street Racing Syndicate,XB,2004,Racing,Namco Bandai Games,0.18,0.05,0.01,,,,,"",""
Crash Bandicoot: The Wrath of Cortex,GC,2002,Platform,Universal Interactive,0.46,0.12,0.02,62,11,7.3,22,Traveller's Tales,E
WinBack: Covert Operations,PS2,2000,Shooter,Midas Interactive Entertainment,0.14,0.11,0.04,66,11,7.7,20,Omega Force,T
Mortal Kombat 3,SNES,1994,Fighting,Acclaim Entertainment,1.19,0.29,0.05,,,,,"",""
Archer Maclean Presents: Pool Paradise,GC,2004,Sports,Ignition Entertainment,0.02,0.01,0,,,,,"",""
Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0,63,4,,,Sand Grain Studios,T
Scared Rider Xechs,PS2,2010,Adventure,RED Entertainment,0,0,0,,,,,"",""
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.05,0.02,84,4,6.1,36,"Activision, FreeStyleGames",T
Armorines: Project S.W.A.R.M.,N64,1999,Shooter,Acclaim Entertainment,0.21,0.05,0,,,,,"",""
The Simpsons: Road Rage,GBA,2003,Racing,THQ,0.86,0.32,0.02,55,14,6.8,9,Altron,E
[Prototype 2],X360,2012,Action,Activision,0.48,0.24,0.07,74,69,7,173,Radical Entertainment,M
Petz: Dogz Pack,DS,2008,Simulation,Ubisoft,0.56,0,0.05,,,,,"",""
Stolen Song,PS,1998,Adventure,Sony Computer Entertainment,0,0,0.01,,,,,"",""
J-League Pro Soccer Club o Tsukurou!,DC,1999,Sports,Sega,0,0,0,,,,,"",""
Jewel Master: Cradle of Rome,Wii,2008,Puzzle,Rondomedia,0.03,0,0,,,,,Cerasus Media,E
FIFA Soccer 06,GBA,2005,Sports,Electronic Arts,0.05,0.02,0,,,,,Electronic Arts,E
Disney Art Academy,3DS,2016,Action,Nintendo,0.02,0.01,0,72,16,6.8,5,Headstrong Games,E
Peter Jacobsen's Golden Tee Golf,PS,2000,Sports,Infogrames,0.07,0.05,0.01,,,,,"",""
Dead or Alive Ultimate,XB,2004,Fighting,Tecmo Koei,0.3,0.1,0.02,83,64,8.7,25,Team Ninja,M
Grease Dance,PS3,2011,Misc,505 Games,0.05,0.02,0.01,,,,,505 Games,T
Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,2.75,1.03,92,97,8.3,3712,Naughty Dog,T
Swing Away Golf,PS2,2000,Sports,Electronic Arts,0.17,0.13,0.04,78,15,,,T&E Soft,E
Tropico 4,X360,,Strategy,Kalypso Media,0.2,0.12,0.03,77,18,7.5,37,Haemimont,T
Cabbage Patch Kids: The Patch Puppy Rescue,GBA,2007,Misc,D3Publisher,0.01,0,0,,,,,"",""
Pursuit Force,PSP,2005,Racing,Sony Computer Entertainment,0.14,0.01,0.01,75,59,7.8,26,Bigbig Studios,T
God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,0.04,1.67,93,70,8.9,709,SCE Santa Monica,M
Keshisasu-Kun: Battle Kas-tival,DS,2010,Action,Konami Digital Entertainment,0,0,0,,,,,"",""
Guilty Gear XX Accent Core,Wii,2007,Fighting,505 Games,0.03,0,0,75,15,8.4,19,Arc System Works,T
Neo Atlas,PS,1998,Strategy,ArtDink,0,0,0.01,,,,,"",""
Folklore,PS3,2007,Role-Playing,Sony Computer Entertainment,0.2,0.04,0.03,75,55,8.2,145,"Game Republic, JapanStudio",T
Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 13: Shinseiki Evangelion - Yakusoku no Toki,PS2,2008,Misc,D3Publisher,0,0,0,,,,,"",""
pro evolution soccer 2011,X360,2010,Sports,Konami Digital Entertainment,0.09,0.44,0.07,79,43,5.9,33,Konami,E
Paws & Claws: Pet Vet,DS,2007,Simulation,THQ,0.59,0,0.05,,,,,"",""
iCarly 2: iJoin The Click!,Wii,2010,Adventure,Activision,0.08,0.01,0.01,,,9,10,Big Blue Bubble Inc.,E
Way of the Samurai 2,PS2,2003,Action,Capcom,0.05,0.04,0.01,59,32,9,24,Acquire,M
Klonoa 2: Lunatea's Veil,PS2,2001,Platform,Sony Computer Entertainment,0.12,0.1,0.03,91,18,9.1,72,Namco,E
Dance Dance Revolution Extreme,PS2,2004,Simulation,Konami Digital Entertainment,1.04,0.81,0.27,77,26,9,20,KCET,E
Tearaway,PSV,2013,Adventure,Sony Computer Entertainment Europe,0.14,0.34,0.14,87,82,8.9,391,Media Molecule,E
Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0,74,19,7,47,Harmonix Music Systems,T
True Crime: New York City,PS2,2005,Action,Activision,0.57,0.02,0.09,,,,,"",""
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,1.02,2.13,0.59,92,79,9.2,10179,CD Projekt Red Studio,M
Schlag den Raab,Wii,2010,Misc,Namco Bandai Games,0,0.16,0.02,,,,,"",""
Demolition Racer,PS,1998,Racing,Infogrames,0.17,0.12,0.02,,,,,"",""
Jurassic: The Hunted,X360,2009,Shooter,Activision,0.12,0,0.01,60,4,7.2,21,Activision,T
Super Football,2600,1987,Sports,Atari,0.07,0,0,,,,,"",""
Mario Tennis,3DS,,Sports,N/A,0,0,0,,,,,"",""
Gekijouban Madoka Magicka: The Battle Pentagram,PSV,2013,Action,Namco Bandai Games,0,0,0,,,,,"",""
International Superstar Soccer 64 (weekly JP sales),N64,1997,Sports,Konami Digital Entertainment,0,0,0.05,,,,,"",""
Fate/Unlimited Codes,PS2,2008,Fighting,Capcom,0,0,0,,,,,"",""
Cocoto Kart Racer,DS,2004,Racing,Big Ben Interactive,0.04,0,0,,,,,Neko Entertainment,E
Amped 2,XB,2003,Sports,Microsoft Game Studios,0.2,0.04,0.01,80,34,7.7,20,Indie Built,E
NASCAR Unleashed,3DS,2011,Racing,Activision,0.18,0,0.01,,,,,Firebrand Games,E
WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0.08,75,49,7.6,45,Yuke's,T
RockMan EXE 4.5 Real Operation,GBA,2004,Role-Playing,Capcom,0,0,0,,,,,"",""
Midtown Madness 3,XB,2003,Racing,Microsoft Game Studios,0.23,0.07,0.01,76,41,8.3,30,Digital Illusions,E
Kenka Bancho: Badass Rumble,PSP,2008,Action,Spike,0.06,0,0.01,70,21,7.5,6,Bullets,T
Trivial Pursuit,X360,2009,Misc,Electronic Arts,0.12,0.21,0.04,66,19,6.4,9,EA Bright Light,E
Project X Zone,3DS,2012,Role-Playing,Namco Bandai Games,0.18,0.04,0.02,70,53,7.3,146,"Monolith Soft, Banpresto",T
Eternal Poison (JP sales),PS2,2008,Role-Playing,Banpresto,0,0,0,,,,,"",""
G-Police,PS,1997,Action,Psygnosis,0.13,0.09,0.02,,,,,"",""
Bratz 4 Real,DS,2007,Adventure,THQ,0.29,0.22,0.06,,,,,THQ,E
P.T.O. IV: Pacific Theater of Operations,PS2,2002,Strategy,Tecmo Koei,0.04,0.03,0.01,71,12,6.6,5,Koei,E
Dance Central,X360,2010,Misc,MTV Games,2.15,0.76,0.26,82,63,7.6,85,Harmonix Music Systems,T
Saints Row 2,PC,2009,Action,THQ,0,0.03,0.01,72,24,6.8,380,"Volition Inc., CD Projekt Red Studio, CD Projekt, CD Projekt Localisation Centre",M
Dynasty Warriors: Eiketsuden,PS4,2016,Action,Tecmo Koei,0,0,0,,,,,"",""
Capcom Fighting Evolution,XB,2005,Fighting,Capcom,0.03,0.01,0,61,20,,,Capcom,T
Bionicle Heroes,Wii,2007,Shooter,Eidos Interactive,0.03,0,0,52,7,5.8,5,Traveller's Tales,E10+
Future Tactics: The Uprising,XB,2004,Strategy,JoWood Productions,0.02,0.01,0,61,24,,,"",""
Operation Armored Liberty,GBA,2003,Action,Majesco Entertainment,0.19,0.07,0,,,,,Majesco Games,T
Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.12,76,23,8.1,12,Electronic Arts,T
Ben 10: Protector of Earth,DS,2007,Action,D3Publisher,0.68,0.82,0.19,,,,,"",""
Delta Force: Black Hawk Down,PS2,2005,Shooter,NovaLogic,0.22,0.17,0.06,58,25,8.8,51,Rebellion,T
Midnight Club: Los Angeles,PS3,2008,Racing,Take-Two Interactive,1.56,0.53,0.31,82,50,8.2,100,Rockstar San Diego,T
Madden NFL 10,PSP,2009,Sports,Electronic Arts,0.5,0.08,0.08,,,7.8,5,EA Tiburon,E
Jet Impulse,DS,,Simulation,Nintendo,0,0,0,,,,,"",""
College Hoops 2K8,PS2,2007,Sports,Take-Two Interactive,0.17,0.13,0.04,66,4,,,Visual Concepts,E
Bodycount,X360,2011,Shooter,Codemasters,0.07,0.03,0.01,53,61,4.7,73,Guildford Studio,M
Honda ATV Fever,Wii,2010,Racing,Storm City Games,0.04,0,0,,,,,Beyond Reality,E
The Price is Right 2010 Edition,Wii,2009,Misc,Ubisoft,0.22,0,0.02,,,,,Ludia Inc.,E
Nicktoons: Unite!,PS2,2005,Adventure,THQ,0.34,0.01,0.06,,,,,"",""
Super Robot Taisen EX,SNES,1994,Strategy,Banpresto,0,0,0,,,,,"",""
Dead Island Definitive Collection,XOne,2016,Action,Deep Silver,0.02,0.03,0,67,10,4.9,18,Techland,M
MLB SlugFest 20-03,XB,2002,Sports,Midway Games,0.15,0.04,0.01,79,9,7.8,5,Gratuitous Games,E
Gretzky NHL,PSP,2005,Sports,Sony Computer Entertainment,0.1,0,0.01,61,23,7.4,10,Page 44 Studios,E
Bleach: Soul Carnival,PSP,2008,Fighting,Sony Computer Entertainment,0,0,0,,,,,"",""
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,Square Enix,0,0,0,,,,,"",""
Maximum Chase,XB,2002,Racing,Microsoft Game Studios,0.05,0.02,0,56,13,,,Genki,T
Otometeki Koi Kakumei * Love Revo!! DS,DS,2008,Adventure,GungHo,0,0,0,,,,,"",""
FIFA Soccer 2005,GC,2004,Sports,Electronic Arts,0.11,0.03,0,78,22,8.5,6,EA Canada,E
Britney's Dance Beat,PS2,2002,Misc,THQ,0.12,0.09,0.03,63,20,4.8,20,Metro Graphics,E
Pokemon Rumble World,3DS,2015,Action,Nintendo,0,0.01,0,58,16,6.4,69,"Ambrella, The Pokemon Company",E10+
Code Geass: Hangyaku no Lelouch - Lost Colors,PS2,2008,Adventure,Namco Bandai Games,0,0,0,,,,,"",""
Just Dance: Disney Party 2,X360,2015,Action,Ubisoft,0.05,0.01,0.01,,,,,Ubisoft,E
Grease Dance,X360,2011,Misc,505 Games,0.11,0.03,0.01,,,,,505 Games,T
Indy Racing 2000,N64,2000,Racing,Infogrames,0.08,0.02,0,,,,,"",""
NERF N-Strike,Wii,2008,Shooter,Electronic Arts,0.91,0.09,0.09,66,13,4.4,7,"EA Redwood Shores, EA Salt Lake",E10+
Cabela's Big Game Hunter: Pro Hunts,PS3,2014,Shooter,Activision,0.03,0,0.01,,,5.9,8,Cauldron Ltd.,T
Fantastic Four: Rise of the Silver Surfer,DS,2007,Action,Take-Two Interactive,0.04,0,0,35,8,4.8,13,7 Studios,E10+
Moshi Monsters: Katsuma Unleashed,3DS,2013,Action,Activision,0.03,0.03,0.01,,,,,Black Lantern Studios,E
Radiata Stories,PS2,2005,Role-Playing,Square Enix,0.18,0.14,0.05,74,36,9,54,Tri-Ace,T
Hail to the Chimp,PS3,2008,Misc,Gamecock,0.05,0,0,51,19,4.5,4,Wideload Games Inc.,T
Purr Pals,Wii,2008,Simulation,Deep Silver,0.26,0,0.02,,,,,Crave,E
Airlock,2600,1981,Action,Data Age,0.36,0.02,0,,,,,"",""
LEGO Pirates of the Caribbean: The Video Game,3DS,2011,Action,Disney Interactive Studios,0.29,0.27,0.06,71,16,7.3,20,Traveller's Tales,E10+
Disney's Story Studio: Disney's Mulan,PS,1999,Misc,Sony Computer Entertainment,0.09,0.06,0.01,,,,,"",""
Phantasy Star Online 2,PSV,2013,Role-Playing,Sega,0,0,0,,,,,"",""
Super Power League 2,SNES,1994,Sports,Hudson Soft,0,0,0,,,,,"",""
Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.04,1.11,0.43,86,36,8.4,87,Vicarious Visions,T
Star Wars: Super Bombad Racing,PS2,2001,Racing,LucasArts,0.08,0.06,0.02,71,21,4.9,8,Lucas Learning,E
Pac-Man World 3,DS,2005,Platform,Namco Bandai Games,0.15,0,0.01,44,8,,,"Blitz Games, Human Soft",E
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0.01,83,18,7.2,175,Eidos Montreal,M
Miami Nights: Singles in the City,DS,2008,Simulation,Ubisoft,0.08,0,0.01,48,6,7.1,7,Gameloft,T
Game & Watch Gallery 4,GBA,2002,Misc,Nintendo,0.43,0.16,0.01,,,,,"",""
Asphalt 3D,3DS,2011,Racing,Ubisoft,0.27,0.16,0.04,43,37,4.4,24,Gameloft,E10+
Astro Boy: The Video Game,PS2,2009,Action,D3Publisher,0.05,0.04,0.01,56,4,5,4,High Voltage Software,E10+
No Rules: Get Phat,GBA,2001,Action,TDK Mediactive,0.03,0.01,0,,,,,"",""
SD Gundam: Scad Hammers,Wii,2006,Strategy,Namco Bandai Games,0,0,0,,,,,"",""
King's Field: The Ancient City,PS2,2001,Role-Playing,Metro 3D,0.05,0.04,0.01,60,14,8.5,13,From Software,T
Max Payne 3,PC,2012,Shooter,Take-Two Interactive,0.16,0.22,0.05,87,30,7.6,2202,Rockstar Studios,M
Desert Falcon,2600,1987,Shooter,Atari,0.24,0.01,0,,,,,"",""
Brothers Conflict: Brilliant Blue,PSP,2013,Adventure,Idea Factory,0,0,0,,,,,"",""
NHL 2K6,X360,2005,Sports,Take-Two Interactive,0.09,0,0.01,75,37,6.1,24,2K Sports,E10+
Langrisser V: The End of Legend,SAT,1998,Strategy,NCS,0,0,0,,,,,"",""
SpongeBob SquarePants: Battle for Bikini Bottom,GC,2003,Platform,THQ,0.74,0.19,0.03,71,10,8.6,34,Heavy Iron Studios,E
SimCity 2000,SAT,1994,Simulation,Sega,0,0,0,,,,,"",""
Quantum Break,PC,2016,Action,Microsoft Game Studios,0,0.01,0,66,14,4.3,539,Remedy Entertainment,M
EA Replay,PSP,2006,Action,Electronic Arts,0.1,0,0.01,56,19,,,Team Fusion,T
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.33,87,22,8.1,78,Reflections Interactive,T
The Humans: Meet the Ancestors!,DS,2009,Puzzle,Deep Silver,0.01,0,0,,,,,"",""
Nicktoons: Freeze Frame Frenzy,GBA,2004,Action,THQ,0.29,0.11,0.01,53,4,,,Altron,E
Car Battler Joe,GBA,2001,Role-Playing,Victor Interactive,0.01,0.01,0,77,11,,,Ancient,E
Ninja: Shadow of Darkness,PS,1998,Action,Eidos Interactive,0.21,0.14,0.02,,,,,"",""
Digimon World 4,GC,2005,Role-Playing,Namco Bandai Games,0.07,0.02,0,55,4,8.1,19,Bandai,E
Legends of Wrestling,XB,2002,Fighting,Acclaim Entertainment,0.1,0.03,0,65,10,5.8,4,Acclaim,T
Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,0.13,0.02,0.02,74,32,8.1,21,SuperVillain Studios,T
Bejeweled 2 Deluxe,PC,2006,Puzzle,Focus Home Interactive,0,0.02,0,,,,,PopCap,E
Dead Rising 2: Off the Record,PS3,2011,Action,Capcom,0.11,0.08,0.03,72,31,7.1,35,Capcom Vancouver,M
FIFA 17,PS3,2016,Sports,Electronic Arts,0.05,0.55,0.1,,,3.3,21,"EA Sports, EA Vancouver",E
Crysis,PC,2007,Shooter,Electronic Arts,0,0.69,0.02,91,56,8,1970,Crytek,M
NBA Jam,PS3,2010,Sports,Electronic Arts,0.22,0.12,0.06,71,33,5.7,14,EA Canada,E
Rave Master,GC,2002,Fighting,Konami Digital Entertainment,0,0,0,60,15,6.3,4,Konami,T
Need for Speed: Most Wanted,DS,2005,Racing,Electronic Arts,0.24,0.01,0.02,45,4,6.1,22,EA Canada,E
Streets of Rage,GEN,1990,Action,Sega,1.86,0.55,0.08,,,,,"",""
Star Wars Episode III: Revenge of the Sith,DS,2005,Action,Ubisoft,0.25,0.03,0.02,73,22,7.8,19,Ubisoft,E10+
SpongeBob SquarePants: SuperSponge,GBA,2001,Action,THQ,0.39,0.15,0.01,,,,,"",""
Harry Potter and the Deathly Hallows - Part 1,Wii,2010,Action,Electronic Arts,0.22,0.27,0.05,41,8,5,11,Electronic Arts,T
Naruto Shippuden: Ultimate Ninja Heroes 3,PSP,2009,Fighting,Namco Bandai Games,0.13,0.04,0.03,61,22,6.6,19,CyberConnect2,T
Freelancer,PC,2003,Simulation,Microsoft Game Studios,0.02,0.02,0.01,85,39,9,185,Digital Anvil,T
SD Gundam G Generation DS,DS,2005,Role-Playing,Namco Bandai Games,0,0,0,,,,,"",""
NCAA Basketball 10,X360,2009,Sports,Electronic Arts,0.3,0,0.02,75,22,,,EA Canada,E
Major Dream: Major DS Dream Baseball,DS,2008,Sports,Takara Tomy,0,0,0,,,,,"",""
WWE 2K16,X360,2015,Sports,Take-Two Interactive,0.27,0.12,0.04,,,5.4,25,Yuke's,T
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,0.24,0.07,0.03,,,7.6,5,Impulse Games,E
Armored Core 4,PS3,2006,Simulation,505 Games,0.09,0,0.01,65,36,6.8,25,From Software,T
Majin and the Forsaken Kingdom,PS3,2010,Adventure,Namco Bandai Games,0.09,0.13,0.05,72,49,7.9,35,Game Republic,T
Hasbro Family Game Night 2,Wii,2009,Misc,Electronic Arts,0.7,0.52,0.13,63,16,6.3,6,Electronic Arts,E
Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,1.73,0.51,73,51,7.4,95,Rare Ltd.,E10+
Country Dance 2,Wii,2011,Misc,GameMill Entertainment,0.43,0,0.03,,,,,High Voltage Software,E10+
Chaotic: Shadow Warriors,X360,2009,Action,Activision,0.14,0,0.01,60,4,5,4,FUN Labs,E10+
Vegas Casino,DS,2007,Misc,Neko Entertainment,0.03,0,0,,,,,Magnin & Associates,T
Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.46,97,34,7.5,298,Neversoft Entertainment,T
X-Men Origins: Wolverine,Wii,2009,Action,Activision,0.19,0.04,0.02,53,8,6.1,10,Amaze Entertainment,T
Winning Post 4,PS,1999,Sports,Tecmo Koei,0,0,0.01,,,,,"",""
World Championship Cards,PSP,2008,Misc,Crave Entertainment,0.19,0,0.02,,,,,Crave,E
Caesars Palace Advance: Millennium Gold Edition,GBA,2001,Misc,Majesco Entertainment,0.05,0.02,0,,,,,"",""
Brave Story: New Traveler (US sales),PSP,2006,Role-Playing,Sony Computer Entertainment,0.11,0,0,,,,,"",""
Saikyou Habu Shogi,N64,1996,Misc,Seta Corporation,0,0,0.03,,,,,"",""
Tom Clancy's Rainbow Six: Lockdown,GC,2005,Shooter,Ubisoft,0.04,0.01,0,72,8,7.8,5,"Red Storm Entertainment, Ubisoft Montreal",M
Mushroom Men: The Spore Wars,Wii,2008,Action,SouthPeak Games,0.16,0.01,0.01,72,37,8.7,33,Red Fly Studio,E10+
NFL GameDay 2002,PS,2001,Sports,Sony Computer Entertainment,0.23,0.15,0.03,62,10,8.8,4,989 Sports,E
Iron Man,PS2,2008,Action,Sega,0.36,0,0.19,47,8,5.6,15,Artificial Mind and Movement,T
Hokuto no Ken,PS2,2007,Fighting,Sega,0,0,0,,,,,"",""
Miami Law,DS,2009,Adventure,Konami Digital Entertainment,0.09,0,0.01,56,14,8.8,4,Hudson Entertainment,T
Bloodborne,PS4,2015,Action,Sony Computer Entertainment,1.03,0.81,0.38,92,100,8.6,6383,From Software,M
The Adventures of Jimmy Neutron Boy Genius vs. Jimmy Negatron,GBA,2002,Action,THQ,0.19,0.07,0,55,5,,,Human Soft,E
Killer Loop,PS,1999,Racing,Crave Entertainment,0.03,0.02,0,,,,,"",""
James Bond 007: Blood Stone,DS,2010,Shooter,Activision,0.05,0.01,0,70,10,,,n-Space,T
Rush 2: Extreme Racing USA,N64,1998,Racing,Midway Games,0.35,0.06,0,,,,,"",""
Karaoke Revolution Glee: Volume 3,X360,2011,Misc,Konami Digital Entertainment,0.13,0,0.01,,,,,Hijinx Studios,T
[Prototype],PS3,2009,Action,Activision,0.65,0.4,0.19,79,53,7.7,308,Radical Entertainment,M
Dungeon Maker II: The Hidden War,PSP,2007,Role-Playing,Global A Entertainment,0.06,0,0.01,,,,,Global A,E10+
Wheel of Fortune,Wii,2010,Misc,THQ,0.86,0.04,0.06,,,7.6,5,THQ,E
The Legend of Zelda: Majora's Mask 3D,3DS,2015,Action,Nintendo,1.15,0.55,0.17,89,82,9,478,GREZZO,E10+
Dancing Blade II: Tears of Eden,PS,1999,Adventure,Konami Digital Entertainment,0,0,0,,,,,"",""
Shadow of Destiny,PSP,2009,Adventure,Konami Digital Entertainment,0.08,0,0.01,54,6,8.2,5,Konami,T
Need for Speed (2015),PC,2016,Racing,Electronic Arts,0,0.03,0,,,,,"",""
Spot Goes to Hollywood,PS,1996,Platform,Virgin Interactive,0.04,0.03,0,,,,,"",""
Overlord,X360,2007,Strategy,Codemasters,0.34,0.03,0.03,76,47,8.3,70,Triumph Studios,T
Shinseiki Evangelion: Koutetsu no Girlfriend,PS,1998,Adventure,Gainax Network Systems,0,0,0.01,,,,,"",""
J-League Winning Eleven 2007: Club Championship,PS2,2007,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
Conflict: Global Terror,PS2,2005,Shooter,Eidos Interactive,0.09,0.07,0.02,62,15,8.5,10,Pivotal Games,M
MonHun Nikki: Poka Poka Ailu Mura,PSP,2010,Role-Playing,Capcom,0,0,0,,,,,"",""
The Fairly Odd Parents: Breakin Da Rules,XB,2003,Platform,THQ,0.08,0.02,0,,,,,"",""
King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,PS2,2002,Fighting,Spike,0,0,0,,,,,"",""
Barbie as The Island Princess,Wii,2007,Adventure,Activision,0.42,0,0.03,,,,,"Human Soft, Ivolgamus",E
NCAA Football 99,PS,1998,Sports,Electronic Arts,0.59,0.4,0.07,,,,,"",""
Just Dance 2017,PS3,2016,Misc,Ubisoft,0.01,0.03,0.01,,,,,Ubisoft Paris,E10+
Gummy Bears Mini Golf,Wii,2010,Sports,Unknown,0.04,0,0,,,,,"",""
Naruto: Path of the Ninja 2,DS,2006,Role-Playing,Takara Tomy,0.22,0,0.02,62,18,7.5,6,TOSE,E10+
The Legend of Spyro: Dawn of the Dragon,PS3,2008,Platform,Vivendi Games,0.19,0.18,0.07,59,22,6.6,36,Etranges Libellules,E10+
Negima!? 3-Jikanme ~Koi to Mahou to Sekaiju Densetsu~,PS2,2006,Adventure,Konami Digital Entertainment,0,0,0,,,,,"",""
Biohazard: Revival Selection,X360,2011,Action,Capcom,0,0,0,,,,,"",""
Writing and Speaking Beautiful Japanese DS,DS,,Misc,Unknown,0,0,0,,,,,"",""
Test Drive Unlimited,PSP,2007,Racing,Atari,0.08,0.27,0.15,80,18,7.3,29,Melbourne House,E10+
Battleborn,PC,2016,Shooter,Take-Two Interactive,0.04,0.04,0.01,69,34,6.9,400,Gearbox Software,T
NBA Live 2004,XB,2003,Sports,Electronic Arts,0.44,0.04,0.02,85,19,8.2,11,EA Sports,E
Pro Yakyuu Famista DS,DS,2007,Sports,Namco Bandai Games,0,0,0,,,,,"",""
Rugby 15,XOne,2015,Sports,Bigben Interactive,0.03,0.05,0.01,20,4,3.1,30,HB Studios Multimedia,E
Deadpool,PS4,2015,Action,Activision,0.14,0.11,0.05,60,11,5.7,68,High Moon Studios,M
Scooby-Doo! and the Spooky Swamp,DS,2010,Action,Warner Bros. Interactive Entertainment,0.25,0.09,0.03,,,,,"",""
The Walking Dead: Survival Instinct,X360,2013,Shooter,Activision,0.46,0.11,0.05,32,30,4,410,Terminal Reality,M
Centipede: Infestation,Wii,2011,Shooter,Atari,0.05,0,0,,,,,WayForward,E10+
Simple DS Series Vol. 41: The Bakudan Shori-Han,DS,2008,Action,D3Publisher,0,0,0,,,,,"",""
Fallout 3,PC,2008,Role-Playing,Bethesda Softworks,0.02,0.88,0.08,91,48,7.9,3450,Bethesda Game Studios,M
Dreamer Series: Puppy Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.05,0,0,,,,,Dreamcatcher,E
DiRT Showdown,PS3,2012,Racing,Codemasters,0.02,0.12,0.03,75,27,6.3,43,Codemasters,E10+
LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.57,1.55,0.51,80,17,8.9,62,Traveller's Tales,E10+
Far East of Eden II: Manji Maru,DS,2006,Role-Playing,Hudson Soft,0,0,0,,,,,"",""
TMNT,X360,2007,Action,Ubisoft,0.48,0.03,0.05,58,31,6.3,32,Ubisoft Montreal,E10+
Escape from Bug Island,Wii,2006,Action,Eidos Interactive,0.04,0.01,0,37,13,5,25,Spike,M
Need for Speed: Hot Pursuit 2,PS2,2002,Racing,Electronic Arts,1.68,0.31,0.09,89,31,8.5,92,Black Box,E
Hamsterz Life,DS,2006,Action,Ubisoft,0.43,0.01,0.04,,,9,13,Digital Kids,E
Rock Band,X360,,Misc,Electronic Arts,1.93,0.33,0.21,92,72,8.2,178,Harmonix Music Systems,T
My Baby Boy,DS,2008,Simulation,Nobilis,0.3,0.01,0.03,,,,,Dancing Dots,E
Army of Two: The 40th Day,X360,2010,Shooter,Electronic Arts,0.62,0.24,0.09,73,79,7.3,126,EA Montreal,M
Illusion of Gaia,SNES,1993,Role-Playing,Nintendo,0,0,0,,,,,"",""
Ty the Tasmanian Tiger 3: Night of the Quinkan,XB,2005,Action,Zoo Digital Publishing,0.02,0.01,0,66,13,,,Krome Studios,E10+
Buffy the Vampire Slayer: Chaos Bleeds,PS2,2003,Action,Vivendi Games,0.09,0.07,0.02,72,27,8.9,47,Eurocom Entertainment Software,T
The SpongeBob SquarePants Movie,GC,2004,Platform,THQ,0.73,0.19,0.03,73,9,7.8,13,Heavy Iron Studios,E
Castlevania,N64,1999,Platform,Konami Digital Entertainment,0.44,0.1,0.05,,,,,"",""
Evolution Skateboarding,GC,2002,Sports,Konami Digital Entertainment,0.03,0.01,0,44,5,,,KCEO,T
Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.02,91,22,8.5,59,KCEK,T
Madden NFL 08,DS,2007,Sports,Electronic Arts,0.23,0,0.02,71,11,,,Exient Entertainment,E
Harvest Moon: Magical Melody,Wii,2008,Simulation,Rising Star Games,0.23,0.03,0.02,69,14,8.8,17,Marvelous Entertainment,E
Tengai Makyo: Dai Yon no Mokushiroku,PSP,2006,Role-Playing,Hudson Soft,0,0,0,,,,,"",""
Star Wars: Demolition,PS,2000,Racing,Activision,0.25,0.17,0.03,63,11,6.5,6,"Luxoflux, Inc.",T
NCAA Football 2003,GC,2002,Sports,Electronic Arts,0.16,0.04,0.01,91,11,8.1,9,EA Sports,E
Jikkyou Powerful Pro Yakyuu '97 Kaimakuban,PS,1997,Sports,Konami Digital Entertainment,0,0,0.04,,,,,"",""
